Food Name,Category,Typical Serving Size,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Micronutrients,Preparation Notes
Dal Bhat,Main Course,1 plate (350g),450,70,14,10,8,"Iron, Calcium, B-complex",Steamed rice with lentil soup and vegetable sides.
Dhido (Buckwheat),Main Course,1 bowl (250g),370,78,9,1.2,6.5,"Magnesium, Iron",Made from buckwheat flour or millet; eaten with gundruk or curry.
"Momo (Chicken, Steamed)",Snack/Main,9 pieces (~360g),520,47,33,22,4,"Iron, Vitamin B12",Steamed; calories increase if fried.
Momo (Vegetarian),Snack,9 pieces (~360g),470,63,18,13,7,"Folate, Vitamin A","Stuffed with cabbage, carrot, onion filling."
Sel Roti,Snack/Dessert,1 piece (90g),300,45,4,14,1,"Iron, Vitamin B1",Unleavened flatbread made from whole wheat flour.
Gundruk (Fermented Greens),Side Dish,1 serving (50g),45,8,3,0.5,3,"Vitamin C, Iron, Probiotics",Fermented leafy greens; probiotic-rich.
Yomari (with Chaku),Dessert,1 piece (~100g),270,55,3,4,2,"Iron, Calcium",Steamed rice dough with molasses and sesame filling.
Chatamari (Minced Meat),Snack/Main,1 piece (150g),330,30,18,14,1.5,"Iron, Zinc, Vitamin B12",Rice crepe with meat topping.
Tongba (Millet Beer),Beverage (Alcoholic),1 bamboo vessel(~300 ml),~120,9,1,0,1,"Low Iron, Alcohol 2–4% ABV",Fermented millet with hot water.
Chyang,Beverage (Alcoholic),1 glass (250 ml),~100,10,1,0,0.5,"Alcohol, minor B vitamins",Fermented rice/barley alcoholic drink.
Raksi,Beverage (Alcoholic),1 shot (50 ml),105,0,0,0,0,Alcohol (~40% ABV),Traditional distilled liquor.
Suja (Butter Tea),Beverage,1 cup (200 ml),90,2,2,8,0,"Sodium, Vitamin A",Tea brewed with butter and salt.
Lassi (Sweet),Beverage,1 glass (250 ml),180,26,6,7,0,"Calcium, Vitamin D, B12",Yogurt drink with sugar.
Lassi (Salted),Beverage,1 glass (250 ml),100,6,6,5,0,"Calcium, Sodium",Yogurt drink with salt.
Nepali Tea (Milk Tea),Beverage,1 cup (150 ml),70,8,2,3,0,"Calcium, Caffeine","Black tea brewed with milk, sugar, and spices."
Sidu (Steamed Bread),Snack/Main,1 piece (150g),420,70,9,8,4,"Iron, B Vitamins","Fermented wheat flour dough, steamed, served with gundruk or curry."
Thukpa (Noodle Soup),Main Course,1 bowl (350g),280,45,12,5,3,"Vitamin A, Iron","Vegetable and meat noodle soup, varies by recipe."
Aloo Tama (Potato Bamboo Shoot Curry),MainCourse/SideDish,1 bowl (300g),290,35,7,12,5,"Vitamin C, Iron","Made with potatoes, bamboo shoots, black-eyed peas and spices."
Lakhamari (Sweet),Snack/Dessert,1 piece (30g),120,18,2,5,0.5,Iron,Deep-fried sweet dough.
Bara (Lentil Pancake),Snack/Main,1 piece (100g),220,30,11,6,3,"Iron, Protein",Fried or pan-cooked black lentil pancake.
Kodo Roti (Millet Flatbread),Staple,1 piece (100g),310,62,8,3,5,"Calcium, Iron",Made from finger millet flour.
,,,,,,,,,
,,,,,,,,,
Food Name,Category,Typical Serving Size,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Micronutrients,Preparation Notes
Sukuti (Dried Meat),Snack/Main,1 serving (50g),180,2,30,5,0,"Iron, Zinc","Sun-dried spiced meat, typically buffalo or goat."
Masu (Nepali Mutton Curry),Main Course,1 bowl (250g),430,10,30,25,1,"Iron, Zinc","Spicy mutton curry, high in fat depending on cut used."
Kwati (Mixed Bean Soup),Main Course,1 bowl (250g),280,40,18,3,7,"Iron, Folate","Soup of mixed sprouted beans, highly nutritious."
Chhoyela (Spiced Grilled Buffalo),Snack/Main,1 plate (150g),350,5,45,15,0,"Iron, Zinc","Marinated grilled buffalo meat, popular in Newari cuisine."
Phapar Roti (Buckwheat Pancake),Snack/Main,1 piece (100g),280,50,8,5,4,"Magnesium, Iron",Flatbread made from buckwheat flour.
Aloo Ko Achar (Potato Pickle),Side Dish,1 serving (100g),150,20,3,7,3,"Vitamin C, Sodium","Spicy, tangy potato pickle with mustard oil and spices."
Sikarni (Sweetened Yogurt),Dessert,1 bowl (150g),250,30,8,9,0,"Calcium, Vitamin B12",Thick sweetened yogurt with cardamom and nuts.
Samay Baji (Newari Traditional Platter),Main Course,1 plate (~400g),600,50,35,20,6,"Iron, Vitamin A, B12","Assortment of meat, beans, rice flakes, pickles, and greens."
Kheer (Rice Pudding),Dessert,1 bowl (150g),210,35,5,6,0.5,"Calcium, Vitamin A",Sweetened milk and rice pudding flavored with cardamom.
